State,AD,cost,medicare,clustering,classification
Alabama,91.67,786,5899,1,3
Alaska,7.467,62,1763,1,4
Arizona,136.7,360,11404,1,1
Arkansas,56,353,6485,1,2
California,650,3592,100967,2,1
Colorado,71,499,8341,1,1
Connecticut,76,877,7084,1,3
Delaware,18.33,214,2347,1,3
District of Columbia,8.933,114,2788,1,4
Florida,530,2222,23118,2,3
Georgia,143.3,1021,11235,1,3
Hawaii,27.33,195,2205,1,4
Idaho,24.33,125,2001,1,1
Illinois,226.7,1599,19808,1,3
Indiana,110,891,10508,1,3
Iowa,64.33,594,4891,1,2
Kansas,52.33,386,3500,1,2
Kentucky,71,706,10000,1,3
Louisiana,86.67,659,8340,1,2
Maine,27.33,194,2701,1,3
Maryland,100.67,1023,10539,1,3
Massachusetts,120,1531,17363,1,3
Michigan,180,1272,17786,1,3
Minnesota,93.67,795,12005,1,2
Mississippi,54,543,5628,1,3
Missouri,110,885,10390,1,2
Montana,20.33,128,1323,1,1
Nebraska,33,318,2144,1,2
Nevada,45,139,3542,1,1
New Hampshire,25,225,2058,1,3
New Jersey,170,1845,16019,2,3
New Mexico,39,162,5382,1,1
New York,396.7,5018,59431,2,3
North Carolina,160,1130,14667,1,3
North Dakota,14,153,7,1,2
Ohio,210,2164,23655,2,3
Oklahoma,64.67,423,4850,1,2
Oregon,64.67,219,9572,1,1
Pennsylvania,270,3263,25511,2,3
Rhode Island,23.67,417,2991,1,3
South Carolina,88.67,527,6156,1,3
South Dakota,17.67,158,956,1,2
Tennessee,110,907,10231,1,3
Texas,370,2708,36837,2,2
Utah,30.67,157,2508,1,1
Vermont,12,100,1729,1,3
Virginia,146.7,786,9326,1,3
Washington,113.33,469,11982,1,1
West Virginia,37.67,420,4156,1,3
Wisconsin,110,668,8687,1,3
Wyoming,9.7,67,730,1,1
