key,value,date
AL,7.20,1/1/04
AL,7.27,1/1/05
AL,7.34,1/1/06
AL,7.44,1/1/07
AL,7.58,1/1/08
AL,7.71,1/1/09
AL,7.83,1/1/10
AL,7.97,1/1/11
AL,8.21,1/1/12
AL,8.45,1/1/13
AL,8.69,1/1/14
AL,8.92,1/1/15
AL,9.15,1/1/16
AL,9.38,1/1/17
AL,9.63,1/1/18
AL,9.89,1/1/19
AL,10.17,1/1/20
AL,10.44,1/1/21
AL,10.71,1/1/22
AL,10.99,1/1/23
AL,11.24,1/1/24
AL,11.51,1/1/25
AL,11.75,1/1/26
AL,11.97,1/1/27
AL,12.17,1/1/28
AL,12.36,1/1/29
AL,12.54,1/1/30
AK,0.51,1/1/04
AK,0.53,1/1/05
AK,0.56,1/1/06
AK,0.59,1/1/07
AK,0.62,1/1/08
AK,0.65,1/1/09
AK,0.68,1/1/10
AK,0.71,1/1/11
AK,0.76,1/1/12
AK,0.81,1/1/13
AK,0.85,1/1/14
AK,0.91,1/1/15
AK,0.95,1/1/16
AK,1.00,1/1/17
AK,1.06,1/1/18
AK,1.11,1/1/19
AK,1.16,1/1/20
AK,1.21,1/1/21
AK,1.26,1/1/22
AK,1.31,1/1/23
AK,1.35,1/1/24
AK,1.39,1/1/25
AK,1.43,1/1/26
AK,1.46,1/1/27
AK,1.49,1/1/28
AK,1.51,1/1/29
AK,1.53,1/1/30
AZ,8.96,1/1/04
AZ,9.23,1/1/05
AZ,9.52,1/1/06
AZ,9.87,1/1/07
AZ,10.27,1/1/08
AZ,10.69,1/1/09
AZ,11.12,1/1/10
AZ,11.60,1/1/11
AZ,12.21,1/1/12
AZ,12.87,1/1/13
AZ,13.54,1/1/14
AZ,14.25,1/1/15
AZ,14.98,1/1/16
AZ,15.76,1/1/17
AZ,16.57,1/1/18
AZ,17.43,1/1/19
AZ,18.35,1/1/20
AZ,19.28,1/1/21
AZ,20.27,1/1/22
AZ,21.29,1/1/23
AZ,22.32,1/1/24
AZ,23.41,1/1/25
AZ,24.48,1/1/26
AZ,25.55,1/1/27
AZ,26.58,1/1/28
AZ,27.61,1/1/29
AZ,28.61,1/1/30
AR,4.57,1/1/04
AR,4.61,1/1/05
AR,4.66,1/1/06
AR,4.72,1/1/07
AR,4.81,1/1/08
AR,4.89,1/1/09
AR,4.97,1/1/10
AR,5.06,1/1/11
AR,5.21,1/1/12
AR,5.36,1/1/13
AR,5.50,1/1/14
AR,5.65,1/1/15
AR,5.78,1/1/16
AR,5.93,1/1/17
AR,6.08,1/1/18
AR,6.24,1/1/19
AR,6.41,1/1/20
AR,6.57,1/1/21
AR,6.74,1/1/22
AR,6.90,1/1/23
AR,7.06,1/1/24
AR,7.23,1/1/25
AR,7.38,1/1/26
AR,7.53,1/1/27
AR,7.67,1/1/28
AR,7.80,1/1/29
AR,7.92,1/1/30
CA,46.17,1/1/04
CA,47.06,1/1/05
CA,47.96,1/1/06
CA,49.03,1/1/07
CA,50.34,1/1/08
CA,51.64,1/1/09
CA,53.00,1/1/10
CA,54.48,1/1/11
CA,56.60,1/1/12
CA,58.71,1/1/13
CA,60.81,1/1/14
CA,63.08,1/1/15
CA,65.22,1/1/16
CA,67.41,1/1/17
CA,69.74,1/1/18
CA,72.17,1/1/19
CA,74.79,1/1/20
CA,77.32,1/1/21
CA,79.90,1/1/22
CA,82.51,1/1/23
CA,85.09,1/1/24
CA,87.90,1/1/25
CA,90.48,1/1/26
CA,92.96,1/1/27
CA,95.37,1/1/28
CA,97.74,1/1/29
CA,100.00,1/1/30
CO,5.39,1/1/04
CO,5.50,1/1/05
CO,5.61,1/1/06
CO,5.75,1/1/07
CO,5.92,1/1/08
CO,6.08,1/1/09
CO,6.24,1/1/10
CO,6.42,1/1/11
CO,6.72,1/1/12
CO,7.01,1/1/13
CO,7.28,1/1/14
CO,7.57,1/1/15
CO,7.85,1/1/16
CO,8.15,1/1/17
CO,8.45,1/1/18
CO,8.75,1/1/19
CO,9.06,1/1/20
CO,9.35,1/1/21
CO,9.65,1/1/22
CO,9.94,1/1/23
CO,10.21,1/1/24
CO,10.49,1/1/25
CO,10.74,1/1/26
CO,10.98,1/1/27
CO,11.18,1/1/28
CO,11.37,1/1/29
CO,11.54,1/1/30
CT,5.75,1/1/04
CT,5.78,1/1/05
CT,5.83,1/1/06
CT,5.91,1/1/07
CT,6.04,1/1/08
CT,6.14,1/1/09
CT,6.22,1/1/10
CT,6.33,1/1/11
CT,6.51,1/1/12
CT,6.68,1/1/13
CT,6.82,1/1/14
CT,6.96,1/1/15
CT,7.09,1/1/16
CT,7.24,1/1/17
CT,7.40,1/1/18
CT,7.57,1/1/19
CT,7.75,1/1/20
CT,7.93,1/1/21
