key,value,date
AL,87,1/1/15
AL,89,1/1/16
AL,90,1/1/17
AL,91.67,1/1/18
AL,93.17,1/1/19
AL,94.67,1/1/20
AL,96.17,1/1/21
AL,97.67,1/1/22
AL,99.17,1/1/23
AL,100.67,1/1/24
AL,102.17,1/1/25
AK,6.4,1/1/15
AK,6.8,1/1/16
AK,7.1,1/1/17
AK,7.467,1/1/18
AK,7.817,1/1/19
AK,8.167,1/1/20
AK,8.517,1/1/21
AK,8.867,1/1/22
AK,9.217,1/1/23
AK,9.567,1/1/24
AK,9.917,1/1/25
AZ,120,1/1/15
AZ,130,1/1/16
AZ,130,1/1/17
AZ,136.7,1/1/18
AZ,141.7,1/1/19
AZ,146.7,1/1/20
AZ,151.7,1/1/21
AZ,156.7,1/1/22
AZ,161.7,1/1/23
AZ,166.7,1/1/24
AZ,171.7,1/1/25
AR,53,1/1/15
AR,54,1/1/16
AR,55,1/1/17
AR,56,1/1/18
AR,57,1/1/19
AR,58,1/1/20
AR,59,1/1/21
AR,60,1/1/22
AR,61,1/1/23
AR,62,1/1/24
AR,63,1/1/25
CA,590,1/1/15
CA,610,1/1/16
CA,630,1/1/17
CA,650,1/1/18
CA,670,1/1/19
CA,690,1/1/20
CA,710,1/1/21
CA,730,1/1/22
CA,750,1/1/23
CA,770,1/1/24
CA,790,1/1/25
CO,65,1/1/15
CO,67,1/1/16
CO,69,1/1/17
CO,71,1/1/18
CO,73,1/1/19
CO,75,1/1/20
CO,77,1/1/21
CO,79,1/1/22
CO,81,1/1/23
CO,83,1/1/24
CO,85,1/1/25
CT,73,1/1/15
CT,74,1/1/16
CT,75,1/1/17
CT,76,1/1/18
CT,77,1/1/19
CT,78,1/1/20
CT,79,1/1/21
CT,80,1/1/22
CT,81,1/1/23
CT,82,1/1/24
CT,83,1/1/25
DC,9.1,1/1/15
DC,9,1/1/16
DC,9,1/1/17
DC,8.933,1/1/18
DC,8.883,1/1/19
DC,8.833,1/1/20
DC,8.783,1/1/21
DC,8.733,1/1/22
DC,8.683,1/1/23
DC,8.633,1/1/24
DC,8.583,1/1/25
DE,17,1/1/15
DE,17,1/1/16
DE,18,1/1/17
DE,18.33,1/1/18
DE,18.83,1/1/19
DE,19.33,1/1/20
DE,19.83,1/1/21
DE,20.33,1/1/22
DE,20.83,1/1/23
DE,21.33,1/1/24
DE,21.83,1/1/25
FL,500,1/1/15
FL,510,1/1/16
FL,520,1/1/17
FL,530,1/1/18
FL,540,1/1/19
FL,550,1/1/20
FL,560,1/1/21
FL,570,1/1/22
FL,580,1/1/23
FL,590,1/1/24
FL,600,1/1/25
GA,130,1/1/15
GA,130,1/1/16
GA,140,1/1/17
GA,143.3,1/1/18
GA,148.3,1/1/19
GA,153.3,1/1/20
GA,158.3,1/1/21
GA,163.3,1/1/22
GA,168.3,1/1/23
GA,173.3,1/1/24
GA,178.3,1/1/25
HI,26,1/1/15
HI,26,1/1/16
HI,27,1/1/17
HI,27.33,1/1/18
HI,27.83,1/1/19
HI,28.33,1/1/20
HI,28.83,1/1/21
HI,29.33,1/1/22
HI,29.83,1/1/23
HI,30.33,1/1/24
HI,30.83,1/1/25
ID,23,1/1/15
ID,23,1/1/16
ID,24,1/1/17
ID,24.33,1/1/18
ID,24.83,1/1/19
ID,25.33,1/1/20
ID,25.83,1/1/21
ID,26.33,1/1/22
ID,26.83,1/1/23
ID,27.33,1/1/24
ID,27.83,1/1/25
IL,210,1/1/15
IL,220,1/1/16
IL,220,1/1/17
IL,226.7,1/1/18
IL,231.7,1/1/19
IL,236.7,1/1/20
IL,241.7,1/1/21
IL,246.7,1/1/22
IL,251.7,1/1/23
IL,256.7,1/1/24
IL,261.7,1/1/25
IN,110,1/1/15
IN,110,1/1/16
IN,110,1/1/17
IN,110,1/1/18
IN,110,1/1/19
IN,110,1/1/20
IN,110,1/1/21
IN,110,1/1/22
IN,110,1/1/23
IN,110,1/1/24
IN,110,1/1/25
IA,63,1/1/15
IA,63,1/1/16
IA,64,1/1/17
IA,64.33,1/1/18
IA,64.83,1/1/19
IA,65.33,1/1/20
IA,65.83,1/1/21
IA,66.33,1/1/22
IA,66.83,1/1/23
IA,67.33,1/1/24
IA,67.83,1/1/25
KS,51,1/1/15
KS,51,1/1/16
KS,52,1/1/17
KS,52.33,1/1/18
KS,52.83,1/1/19
KS,53.33,1/1/20
KS,53.83,1/1/21
KS,54.33,1/1/22
KS,54.83,1/1/23
KS,55.33,1/1/24
KS,55.83,1/1/25
KY,68,1/1/15
KY,69,1/1/16
KY,70,1/1/17
KY,71,1/1/18
KY,72,1/1/19
KY,73,1/1/20
KY,74,1/1/21
KY,75,1/1/22
KY,76,1/1/23
KY,77,1/1/24
KY,78,1/1/25
LA,82,1/1/15
LA,84,1/1/16
LA,85,1/1/17
LA,86.67,1/1/18
LA,88.17,1/1/19
LA,89.67,1/1/20
LA,91.17,1/1/21
LA,92.67,1/1/22
LA,94.17,1/1/23
LA,95.67,1/1/24
LA,97.17,1/1/25
ME,26,1/1/15
ME,26,1/1/16
ME,27,1/1/17
ME,27.33,1/1/18
ME,27.83,1/1/19
ME,28.33,1/1/20
ME,28.83,1/1/21
ME,29.33,1/1/22
ME,29.83,1/1/23
ME,30.33,1/1/24
ME,30.83,1/1/25
MD,99,1/1/15
MD,100,1/1/16
MD,100,1/1/17
MD,100.67,1/1/18
MD,101.17,1/1/19
MD,101.67,1/1/20
MD,102.17,1/1/21
MD,102.67,1/1/22
MD,103.17,1/1/23
MD,103.67,1/1/24
MD,104.17,1/1/25
MA,120,1/1/15
MA,120,1/1/16
MA,120,1/1/17
MA,120,1/1/18
MA,120,1/1/19
MA,120,1/1/20
MA,120,1/1/21
MA,120,1/1/22
MA,120,1/1/23
MA,120,1/1/24
MA,120,1/1/25
MI,180,1/1/15
MI,180,1/1/16
MI,180,1/1/17
MI,180,1/1/18
MI,180,1/1/19
MI,180,1/1/20
MI,180,1/1/21
MI,180,1/1/22
MI,180,1/1/23
MI,180,1/1/24
MI,180,1/1/25
MN,89,1/1/15
MN,91,1/1/16
MN,92,1/1/17
MN,93.67,1/1/18
MN,95.17,1/1/19
MN,96.67,1/1/20
MN,98.17,1/1/21
MN,99.67,1/1/22
MN,101.17,1/1/23
MN,102.67,1/1/24
MN,104.17,1/1/25
MS,51,1/1/15
MS,52,1/1/16
MS,53,1/1/17
MS,54,1/1/18
MS,55,1/1/19
MS,56,1/1/20
MS,57,1/1/21
MS,58,1/1/22
MS,59,1/1/23
MS,60,1/1/24
MS,61,1/1/25
MO,110,1/1/15
MO,110,1/1/16
MO,110,1/1/17
MO,110,1/1/18
MO,110,1/1/19
MO,110,1/1/20
MO,110,1/1/21
MO,110,1/1/22
MO,110,1/1/23
MO,110,1/1/24
MO,110,1/1/25
MT,19,1/1/15
MT,19,1/1/16
MT,20,1/1/17
MT,20.33,1/1/18
MT,20.83,1/1/19
MT,21.33,1/1/20
MT,21.83,1/1/21
