key,value,date
AL,819,1/1/15
AL,808,1/1/16
AL,797,1/1/17
AL,786,1/1/18
AL,775,1/1/19
AL,764,1/1/20
AL,753,1/1/21
AL,742,1/1/22
AL,731,1/1/23
AL,720,1/1/24
AL,709,1/1/25
AK,53,1/1/15
AK,56,1/1/16
AK,59,1/1/17
AK,62,1/1/18
AK,65,1/1/19
AK,68,1/1/20
AK,71,1/1/21
AK,74,1/1/22
AK,77,1/1/23
AK,80,1/1/24
AK,83,1/1/25
AZ,276,1/1/15
AZ,304,1/1/16
AZ,332,1/1/17
AZ,360,1/1/18
AZ,388,1/1/19
AZ,416,1/1/20
AZ,444,1/1/21
AZ,472,1/1/22
AZ,500,1/1/23
AZ,528,1/1/24
AZ,556,1/1/25
AR,299,1/1/15
AR,317,1/1/16
AR,335,1/1/17
AR,353,1/1/18
AR,371,1/1/19
AR,389,1/1/20
AR,407,1/1/21
AR,425,1/1/22
AR,443,1/1/23
AR,461,1/1/24
AR,479,1/1/25
CA,3208,1/1/15
CA,3336,1/1/16
CA,3464,1/1/17
CA,3592,1/1/18
CA,3720,1/1/19
CA,3848,1/1/20
CA,3976,1/1/21
CA,4104,1/1/22
CA,4232,1/1/23
CA,4360,1/1/24
CA,4488,1/1/25
CO,445,1/1/15
CO,508,1/1/16
CO,526,1/1/17
CO,499,1/1/18
CO,517,1/1/19
CO,535,1/1/20
CO,553,1/1/21
CO,571,1/1/22
CO,589,1/1/23
CO,607,1/1/24
CO,625,1/1/25
CT,886,1/1/15
CT,883,1/1/16
CT,880,1/1/17
CT,877,1/1/18
CT,874,1/1/19
CT,871,1/1/20
CT,868,1/1/21
CT,865,1/1/22
CT,862,1/1/23
CT,859,1/1/24
CT,856,1/1/25
DC,117,1/1/15
DC,116,1/1/16
DC,115,1/1/17
DC,114,1/1/18
DC,113,1/1/19
DC,112,1/1/20
DC,111,1/1/21
DC,110,1/1/22
DC,109,1/1/23
DC,108,1/1/24
DC,107,1/1/25
DE,208,1/1/15
DE,210,1/1/16
DE,212,1/1/17
DE,214,1/1/18
DE,216,1/1/19
DE,218,1/1/20
DE,220,1/1/21
DE,222,1/1/22
DE,224,1/1/23
DE,226,1/1/24
DE,228,1/1/25
FL,2393,1/1/15
FL,2336,1/1/16
FL,2279,1/1/17
FL,2222,1/1/18
FL,2165,1/1/19
FL,2108,1/1/20
FL,2051,1/1/21
FL,1994,1/1/22
FL,1937,1/1/23
FL,1880,1/1/24
FL,1823,1/1/25
GA,1072,1/1/15
GA,1055,1/1/16
GA,1038,1/1/17
GA,1021,1/1/18
GA,1004,1/1/19
GA,987,1/1/20
GA,970,1/1/21
GA,953,1/1/22
GA,936,1/1/23
GA,919,1/1/24
GA,902,1/1/25
HI,198,1/1/15
HI,197,1/1/16
HI,196,1/1/17
HI,195,1/1/18
HI,194,1/1/19
HI,193,1/1/20
HI,192,1/1/21
HI,191,1/1/22
HI,190,1/1/23
HI,189,1/1/24
HI,188,1/1/25
ID,137,1/1/15
ID,133,1/1/16
ID,129,1/1/17
ID,125,1/1/18
ID,121,1/1/19
ID,117,1/1/20
ID,113,1/1/21
ID,109,1/1/22
ID,105,1/1/23
ID,101,1/1/24
ID,97,1/1/25
IL,1497,1/1/15
IL,1531,1/1/16
IL,1565,1/1/17
IL,1599,1/1/18
IL,1633,1/1/19
IL,1667,1/1/20
IL,1701,1/1/21
IL,1735,1/1/22
IL,1769,1/1/23
IL,1803,1/1/24
IL,1837,1/1/25
IN,957,1/1/15
IN,935,1/1/16
IN,913,1/1/17
IN,891,1/1/18
IN,869,1/1/19
IN,847,1/1/20
IN,825,1/1/21
IN,803,1/1/22
IN,781,1/1/23
IN,759,1/1/24
IN,737,1/1/25
IA,606,1/1/15
IA,602,1/1/16
IA,598,1/1/17
IA,594,1/1/18
IA,590,1/1/19
IA,586,1/1/20
IA,582,1/1/21
IA,578,1/1/22
IA,574,1/1/23
IA,570,1/1/24
IA,566,1/1/25
KS,437,1/1/15
KS,420,1/1/16
KS,403,1/1/17
KS,386,1/1/18
KS,369,1/1/19
KS,352,1/1/20
KS,335,1/1/21
KS,318,1/1/22
KS,301,1/1/23
KS,284,1/1/24
KS,267,1/1/25
KY,643,1/1/15
KY,664,1/1/16
KY,685,1/1/17
KY,706,1/1/18
KY,727,1/1/19
KY,748,1/1/20
KY,769,1/1/21
KY,790,1/1/22
KY,811,1/1/23
KY,832,1/1/24
KY,853,1/1/25
LA,656,1/1/15
LA,657,1/1/16
LA,658,1/1/17
LA,659,1/1/18
LA,660,1/1/19
LA,661,1/1/20
LA,662,1/1/21
LA,663,1/1/22
LA,664,1/1/23
LA,665,1/1/24
LA,666,1/1/25
ME,173,1/1/15
ME,180,1/1/16
ME,187,1/1/17
ME,194,1/1/18
ME,201,1/1/19
ME,208,1/1/20
ME,215,1/1/21
ME,222,1/1/22
ME,229,1/1/23
ME,236,1/1/24
ME,243,1/1/25
MD,1080,1/1/15
MD,1061,1/1/16
MD,1042,1/1/17
MD,1023,1/1/18
MD,1004,1/1/19
MD,985,1/1/20
MD,966,1/1/21
MD,947,1/1/22
MD,928,1/1/23
MD,909,1/1/24
MD,890,1/1/25
MA,1588,1/1/15
MA,1569,1/1/16
MA,1550,1/1/17
MA,1531,1/1/18
MA,1512,1/1/19
MA,1493,1/1/20
MA,1474,1/1/21
MA,1455,1/1/22
MA,1436,1/1/23
MA,1417,1/1/24
MA,1398,1/1/25
MI,1353,1/1/15
MI,1326,1/1/16
MI,1299,1/1/17
MI,1272,1/1/18
MI,1245,1/1/19
MI,1218,1/1/20
MI,1191,1/1/21
MI,1164,1/1/22
MI,1137,1/1/23
MI,1110,1/1/24
MI,1083,1/1/25
MN,753,1/1/15
MN,767,1/1/16
MN,781,1/1/17
MN,795,1/1/18
MN,809,1/1/19
MN,823,1/1/20
MN,837,1/1/21
MN,851,1/1/22
MN,865,1/1/23
MN,879,1/1/24
MN,893,1/1/25
MS,522,1/1/15
MS,529,1/1/16
MS,536,1/1/17
MS,543,1/1/18
MS,550,1/1/19
MS,557,1/1/20
MS,564,1/1/21
MS,571,1/1/22
MS,578,1/1/23
MS,585,1/1/24
MS,592,1/1/25
MO,759,1/1/15
MO,801,1/1/16
MO,843,1/1/17
MO,885,1/1/18
MO,927,1/1/19
MO,969,1/1/20
MO,1011,1/1/21
MO,1053,1/1/22
MO,1095,1/1/23
MO,1137,1/1/24
MO,1179,1/1/25
MT,161,1/1/15
MT,150,1/1/16
MT,139,1/1/17
MT,128,1/1/18
MT,117,1/1/19
MT,106,1/1/20
MT,95,1/1/21
MT,84,1/1/22
MT,73,1/1/23
MT,62,1/1/24
MT,51,1/1/25
NE,294,1/1/15
NE,302,1/1/16
NE,310,1/1/17
NE,318,1/1/18
NE,326,1/1/19
NE,334,1/1/20
NE,342,1/1/21
NE,350,1/1/22
NE,358,1/1/23
NE,366,1/1/24
NE,374,1/1/25
NV,196,1/1/15
NV,177,1/1/16
NV,158,1/1/17
NV,139,1/1/18
NV,120,1/1/19
NV,101,1/1/20
NV,82,1/1/21
NV,63,1/1/22
NV,44,1/1/23
NV,25,1/1/24
NV,6,1/1/25
NH,225,1/1/15
NH,225,1/1/16
NH,225,1/1/17
NH,225,1/1/18
NH,225,1/1/19
NH,225,1/1/20
NH,225,1/1/21
NH,225,1/1/22
NH,225,1/1/23
NH,225,1/1/24
NH,225,1/1/25
NJ,1971,1/1/15
NJ,1929,1/1/16
NJ,1887,1/1/17
NJ,1845,1/1/18
NJ,1803,1/1/19
NJ,1761,1/1/20
NJ,1719,1/1/21
NJ,1677,1/1/22
NJ,1635,1/1/23
NJ,1593,1/1/24
NJ,1551,1/1/25
NM,207,1/1/15
