key,value,date
SO,0.020341755,1/1/00
SO,0.020612062,1/1/04
SO,0.020686859,1/1/05
SO,0.020762543,1/1/06
SO,0.020829291,1/1/07
SO,0.020893786,1/1/08
SO,0.020977586,1/1/09
SO,0.021066785,1/1/10
SO,0.021148318,1/1/11
SO,0.021215952,1/1/12
SO,0.021287686,1/1/13
SO,0.021359853,1/1/14
SO,0.021421234,1/1/15
SO,0.021484112,1/1/16
SO,0.021544677,1/1/17
SO,0.021607848,1/1/18
SO,0.021674634,1/1/19
SO,0.021738779,1/1/20
SO,0.021809061,1/1/21
SO,0.021881754,1/1/22
SO,0.021953127,1/1/23
SO,0.022029307,1/1/24
SO,0.022103373,1/1/25
SO,0.022184565,1/1/26
SO,0.022270721,1/1/27
SO,0.022361433,1/1/28
SO,0.022450804,1/1/29
SO,0.022533899,1/1/30
WE,0.015217056,1/1/00
WE,0.015702044,1/1/04
WE,0.015827258,1/1/05
WE,0.015945737,1/1/06
WE,0.016059294,1/1/07
WE,0.016174693,1/1/08
WE,0.01631101,1/1/09
WE,0.016461295,1/1/10
WE,0.016603079,1/1/11
WE,0.016728837,1/1/12
WE,0.01685587,1/1/13
WE,0.016991073,1/1/14
WE,0.017135669,1/1/15
WE,0.017264778,1/1/16
WE,0.017384129,1/1/17
WE,0.017505831,1/1/18
WE,0.017619397,1/1/19
WE,0.017723394,1/1/20
WE,0.01781505,1/1/21
WE,0.017897199,1/1/22
WE,0.017969869,1/1/23
WE,0.018037579,1/1/24
WE,0.018111494,1/1/25
WE,0.018177274,1/1/26
WE,0.018242101,1/1/27
WE,0.018301006,1/1/28
WE,0.018353193,1/1/29
WE,0.018406796,1/1/30
NE,0.023409586,1/1/00
NE,0.022783283,1/1/04
NE,0.022623503,1/1/05
NE,0.022457849,1/1/06
NE,0.022308783,1/1/07
NE,0.022175495,1/1/08
NE,0.022005117,1/1/09
NE,0.021826907,1/1/10
NE,0.021663939,1/1/11
NE,0.02151242,1/1/12
NE,0.021345518,1/1/13
NE,0.021163387,1/1/14
NE,0.020983735,1/1/15
NE,0.02080364,1/1/16
NE,0.020626785,1/1/17
NE,0.020455052,1/1/18
NE,0.020285624,1/1/19
NE,0.020131317,1/1/20
NE,0.019982414,1/1/21
NE,0.019841152,1/1/22
NE,0.01971361,1/1/23
NE,0.019592746,1/1/24
NE,0.019471909,1/1/25
NE,0.01934964,1/1/26
NE,0.019226998,1/1/27
NE,0.019112679,1/1/28
NE,0.019013105,1/1/29
NE,0.018926487,1/1/30
MW,0.019669099,1/1/00
MW,0.019188379,1/1/04
MW,0.019057338,1/1/05
MW,0.018937061,1/1/06
MW,0.018822409,1/1/07
MW,0.018696664,1/1/08
MW,0.018548825,1/1/09
MW,0.018383356,1/1/10
MW,0.018226339,1/1/11
MW,0.018098217,1/1/12
MW,0.017974028,1/1/13
MW,0.01785218,1/1/14
MW,0.017733325,1/1/15
MW,0.017629454,1/1/16
MW,0.017537203,1/1/17
MW,0.017434724,1/1/18
MW,0.0173344,1/1/19
MW,0.017236343,1/1/20
MW,0.017139111,1/1/21
MW,0.017042433,1/1/22
MW,0.016947037,1/1/23
MW,0.016845187,1/1/24
MW,0.01673939,1/1/25
MW,0.016633467,1/1/26
MW,0.016521664,1/1/27
MW,0.016403892,1/1/28
MW,0.016284335,1/1/29
MW,0.016162464,1/1/30
